SCHOOL_ENROLLMENT_ID,CENSUS_YEAR,CENSUS_SUBDIVISION_ID,SCHOOL_NAME,SCHOOL_DISTRICT,ELEMENTARY_SCHOOL_ENROLLMENT,SECONDARY_SCHOOL_ENROLLMENT,SCHOOL_YEAR_PERIOD,DATA_PUBLICATION_YEAR,LATITUDE,LONGITUDE
193,2016,5901028,Kimberley Alternate School,Rocky Mountain,0,21,2016/2017,2017,49.68676,-115.980519
194,2016,5901028,Kimberley Independent School,Rocky Mountain,66,0,2016/2017,2017,49.665733,-115.96785
195,2016,5939007,Lady Grey Elementary,Rocky Mountain,213,0,2016/2017,2017,51.296112,-116.972899
196,2016,5901028,Lindsay Park Elementary,Rocky Mountain,176,0,2016/2017,2017,49.692427,-115.983667
197,2016,5901043,Martin Morigeau Elementary,Rocky Mountain,57,0,2016/2017,2017,50.160278,-115.808889
198,2016,5901028,Marysville Elementary,Rocky Mountain,183,0,2016/2017,2017,49.635052,-115.951189
199,2016,5901028,McKim Middle School,Rocky Mountain,356,0,2016/2017,2017,49.679464,-115.979173
200,2016,5939007,Nicholson Elementary,Rocky Mountain,89,0,2016/2017,2017,51.297778,-116.964722
201,2016,5901039,Open Doors Alternate Education,Rocky Mountain,0,34,2016/2017,2017,50.505833,-116.030556
202,2016,5901028,Rocky Mountain Distributed Learning,Rocky Mountain,7,114,2016/2017,2017,49.671138,-115.979785
203,2016,5901028,Selkirk Secondary School,Rocky Mountain,0,405,2016/2017,2017,49.68676,-115.980519
204,2016,5901046,Windermere Elementary,Rocky Mountain,153,0,2016/2017,2017,50.464998,-115.986321
205,2016,5903004,Adam Robertson Elementary,Kootenay Lake,321,0,2016/2017,2017,49.099756,-116.514802
206,2016,5903041,Blewett Elementary School,Kootenay Lake,158,0,2016/2017,2017,49.49077,-117.369179
207,2016,5903052,Brent Kennedy Elementary,Kootenay Lake,234,0,2016/2017,2017,49.441905,-117.54444
208,2016,5903013,Canyon/Lister Elementary,Kootenay Lake,131,0,2016/2017,2017,49.081958,-116.447771
209,2016,5903015,CHEK-ABC,Kootenay Lake,95,75,2016/2017,2017,49.505855,-117.268852
210,2016,5903010,Crawford Bay Elem-Secondary,Kootenay Lake,42,35,2016/2017,2017,49.680298,-116.827878
211,2016,5903015,Distance Ed School of the Kootenays,Kootenay Lake,38,388,2016/2017,2017,49.48911,-117.293206
212,2016,5903013,Erickson Elementary,Kootenay Lake,223,0,2016/2017,2017,49.091809,-116.469424
213,2016,5903004,Homelinks - Creston,Kootenay Lake,71,84,2016/2017,2017,49.0975,-116.513056
214,2016,5903023,Homelinks - Kaslo,Kootenay Lake,11,0,2016/2017,2017,49.911491,-116.911715
215,2016,5903015,Homelinks - Nelson,Kootenay Lake,32,10,2016/2017,2017,49.489759,-117.286285
216,2016,5903019,Homelinks - Slocan,Kootenay Lake,6,0,2016/2017,2017,49.763933,-117.469708
217,2016,5903015,Hume Elementary School,Kootenay Lake,189,0,2016/2017,2017,49.500075,-117.279352
218,2016,5903023,J V Humphries Elem-Secondary,Kootenay Lake,124,99,2016/2017,2017,49.912176,-116.911233
219,2016,5903039,Jewett Elementary,Kootenay Lake,9,0,2016/2017,2017,50.233333,-116.983333
220,2016,5903004,Kootenay Valley Christian School,Kootenay Lake,20,4,2016/2017,2017,49.108431,-116.529233
221,2016,5903015,L V Rogers Secondary,Kootenay Lake,0,735,2016/2017,2017,49.502218,-117.272627
222,2016,5903013,Mormon Hills Elementary Secondary,Kootenay Lake,86,69,2016/2017,2017,49.014565,-116.432216
223,2016,5903052,Mount Sentinel Secondary,Kootenay Lake,45,243,2016/2017,2017,49.466667,-117.516667
224,2016,5903015,Nelson Christian Community School,Kootenay Lake,43,4,2016/2017,2017,49.505855,-117.268852
225,2016,5903041,Nelson Waldorf School,Kootenay Lake,134,15,2016/2017,2017,49.458901,-117.282713
226,2016,5903043,Prince Charles Secondary,Kootenay Lake,0,481,2016/2017,2017,49.511361,-117.28962
227,2016,5903015,REACH,Kootenay Lake,0,22,2016/2017,2017,49.502218,-117.272627
228,2016,5903041,Redfish Elementary School,Kootenay Lake,87,0,2016/2017,2017,49.613791,-117.048302
229,2016,5903015,Rosemont Elementary School,Kootenay Lake,129,0,2016/2017,2017,49.481019,-117.302936
230,2016,5903011,Salmo Elementary School,Kootenay Lake,192,0,2016/2017,2017,49.193333,-117.278611
231,2016,5903011,Salmo Secondary,Kootenay Lake,23,106,2016/2017,2017,49.193333,-117.278611
232,2016,5903015,South Nelson Elementary,Kootenay Lake,185,0,2016/2017,2017,49.489759,-117.286285
233,2016,5903015,St Joseph School,Kootenay Lake,139,6,2016/2017,2017,49.489057,-117.290973
234,2016,5903015,Trafalgar Middle School,Kootenay Lake,232,140,2016/2017,2017,49.487164,-117.287832
235,2016,5903019,W.E. Graham Community School,Kootenay Lake,54,17,2016/2017,2017,49.767778,-117.466111
236,2016,5903015,Wildflower,Kootenay Lake,148,16,2016/2017,2017,49.48911,-117.293206
237,2016,5903052,Winlaw Elementary School,Kootenay Lake,95,0,2016/2017,2017,49.616667,-117.566667
238,2016,5903807,Yaqan Nukiy School,Kootenay Lake,83,0,2016/2017,2017,49.066109,-116.515656
394,2016,5941013,Voyageur Elementary School,Quesnel,304,0,2016/2017,2017,52.97739,-122.525265
395,2016,5941025,Wells Barkerville Elementary,Quesnel,20,0,2016/2017,2017,53.104445,-121.5725
396,2016,5909020,A D Rundle Middle School,Chilliwack,115,207,2016/2017,2017,49.159393,-121.961367
