Characteristic	Total		1941 CT	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38																																								
1966	410,375	410,375		167	8,880	5,290	6,252	5,649	7,571	7,593	3,740	7,143	7,385	3,929	6,566	9,211	5,840	9,111	8,627	8,745	9,414	4,964	2,163	5,042	3,046	4,180	5,974	6,744	4,698	6,046	4,010	5,702	5,716	9,195	5,628	5,856	7,958	7,188	9,388	7,460	3,232	8,098	7,498	6,710	5,257	7,359	5,244	9,094	3,935	6,298	4,842	4,097	7,554	6,476	9,224	8,669	8,391	7,017	7,435	7,551	3,530	8,065	4,948	4,802	3,028	2,943	3,689	5,008	1,399	2,857	4,054	2,979									
1971	426,256	426,256		79	9,382	5,522	6,414	5,995	7,393	7,310	3,970	6,850	8,562	3,966	6,544	10,357	5,966	9,678	9,103	8,857	9,686	4,872	2,600	4,880	2,843	4,065	5,827	6,675	4,583	6,154	3,983	5,643	5,927	9,363	5,771	5,693	8,508	7,495	9,627	7,700	3,842	8,088	8,295	6,978	5,160	7,379	4,490	9,040	4,273	7,352	4,668	3,050	9,128	6,790	9,404	8,879	8,766	8,711	8,332	8,814	2,714	6,127	6,683	4,923	3,653	3,399	4,006	5,671	1,217	3,770	4,811	3,536									
1976				4,788	8,366	5,235	6,753	5,355	7,471	7,104	4,923	6,450	8,348	3,895	6,273	10,155	5,885	9,026	9,357	8,451	9,394	4,568	2,404	4,656	2,716	3,957	5,503	6,660	4,345	6,334	3,596	5,225	5,547	8,427	5,476	5,620	8,612	7,396	9,203	7,143	3,437	7,431	7,767	7,151	4,861	7,028	4,468	8,202	4,204	6,787	4,237	1,839	10,722	6,582	9,029	8,186	7,963	7,667	6,472	7,634	2,182	5,441	6,883	4,482	3,487	3,188	3,836	5,145	911	4,406	4,604	3,512									
1981				6369	7946	5711	6960	5323	7163	6661	4883	6021	7648	4425	6097	10173	6265	8715	9824	8820	9751	4379	2415	4418	2563	3846	5230	6338	4047	6210	3414	4826	5458	8358	5481	5785	8877	7631	9250	7145	3955	7415	7426	6681	4500	6555	5029	7811	3961	6655	4289	4557	11584	6417	9706	8068	7665	8269	7126	8070	2507	6031	7135	4288	3229	3452	3594	5713	560	4681	4523	3345									
1986				9,236	8,319	5,826	7,179	5,458	7,575	7,065	4,810	6,053	7,789	4,427	6,133	10,480	6,475	8,650	10,574	9,182	10,452	4,219	2,523	4,243	2,359	3,967	5,371	6,513	4,235	6,113	3,310	5,057	5,724	8,469	6,016	5,944	9,283	8,084	9,533	7,309	4,047	7711	7250	7008	4796	6824	4715	8344	4213	6908	4520	7580	12812	6698	9953	8275	7614	8392	6985	8063	2760	5665	7429	4275	3181	3321	3835	5714	616	4714	4212	3606									
1991				9,235	9,445	6,825	8,220	5,750	8,525	8,160	5,155	6,190	8,000	5,210	6,995	11,675	7,090	9,235	12,380	10,430	11,670	4,760	2,545	4,390	2,320	4,260	5,745	6,935	4,495	6,540	3,275	5,330	6,160	9,415	6,580	6,700	10,140	8,745	10,250	8,680	4,165	8,970	7,520	7,270	5,205	7,715	5,020	8,980	4,535	7,320	4,970	9,595	14,050	7,080	10,610	8,880	7,865	8,935	8,295	8,295	3,110	8,545	7,910	4,370	3,240	3,495	3,995	5,855	790	4,780	4,405	4,535									
				10,264	12,080	7,570	8,774	6,553	9,328	8,559	5,454	6,463	8,747	5,737	7,061	12,465	7,387	9,636	16,235	11,242	12,126	5,175	2,544	4,222	2,694	4,435	6,051	7,219	4,843	6,841	3,224	5,691	6,606	9,928	6,987	7,166	10,823	10,417	10,853	8,770	4,628	10175	7847	7787	5713	7963	4921	9272	4793	7631	5873	9960	14579	7344	11058	9073	8199	9841	8710	8103	3412	16364	8350	4731	3281	3585	4034	6417	1513	5340	4733	6833									
				10378	13013	7907	9296	6848	9538	8624	5364	6945	9049	6038	7482	13482	8138	9895	18485	12247	12438	5358	2582	4156	2898	4538	6038	7239	4956	6869	3218	5901	6587	10053	7463	7743	11427	11105	10839	8899	4766	10387	7802	9995	5881	7923	4753	10058	4972	7674	6323	11160	14847	7596	11922	9433	8230	9914	8759	7919	3535	24974	8735	4696	3225	3398	3917	6476	3777	6214	4679	7816									
				10875	13602	8215	9639	7451	10083	8850	5664	7473	9906	6624	7797	14473	8364	10771	21384	13195	13253	5265	2561	4041	3256	4454	6030	7245	4882	8225	3188	6005	6396	10154	7235	7555	11469	11102	11485	8272	4782	10378	7706	10909	5900	8275	4715	10143	4927	7688	6635	11807	14065	7674	11999	9398	8222	9631	8323	8089	3734	36598	8680	4787	3262	3574	4614	6610	6772	8230	4846	10831									
				11148	14482	8443	10270	7207	10268	8862	5856	7484	9681	6645	7777	14874	9057	11527	22418	13359	13989	4848	2726	3955	3177	4354	5951	7413	4913	8172	3116	6512	6629	10317	8249	7614	12256	11083	12018	8571	5394	11260	8121	11355	6118	8276	4527	10244	4967	7484	7366	13967	13935	7991	12218	9725	8226	9433	7944	8274	3792	46999	8651	4821	3209	3352	4616	6767	7817	8167	4834	12777									
				11749	14736	8327	10577	7302	9932	8995	5852	7103	10093	6615	8102	15101	9064	11731	22280	14167	13891	4882	2700	3684	3062	4227	5787	7420	4675	7861	3063	6798	6896	10777	9098	8323	12515	11300	12362	8640	5817	11690	8707	11861	6482	8373	4700	10673	5158	7764	7932	19823	15465	8060	12384	10056	8542	9788	8687	8062	4203	53525	9110	5111	3426	3978	4658	7147	8639	8545	5085	15890									
																																																																																	
		Land Area 1981	2,786.22	2.77	3.50	1.63	2.54	1.29	2.10	3.91	5.21	1.66	2.72	1.55	1.55	1.09	1.14	1.29	0.91	1.24	0.65	1.61	2.05	0.85	1.01	1.61	1.48	2.20	0.34	1.19	1.76	1.92	1.24	2.38	1.48	1.50	1.45	1.55	1.22	1.11	1.97	2.33	1.37	1.40	1.04	0.62	1.40	0.60	1.35	1.22	1.68	2.85	1.45	0.52	0.65	1.14	1.58	0.57	1.55	0.70	1.35	1.29	1.29	3.24	1.42	1.45	1.55	1.86	0.96	1.76	0.96	0.36	0.23	0.21	0.18	0.26	0.23	0.57	0.62	3.60	14.17
																																																																																	
																																																																																	
			base_CT	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69									
			Population 1976	4,788	8,366	5,235	6,753	5,355	7,471	7,104	4,923	6,450	8,348	3,895	6,273	10,155	5,885	9,026	9,357	8,451	9,394	4,568	2,404	4,656	2,716	3,957	5,503	6,660	4,345	6,334	3,596	5,225	5,547	8,427	5,476	5,620	8,612	7,396	9,203	7,143	3,437	7,431	7,767	7,151	4,861	7,028	4,468	8,202	4,204	6,787	4,237	1,839	10,722	6,582	9,029	8,186	7,963	7,667	6,472	7,634	2,182	5,441	6,883	4,482	3,487	3,188	3,836	5,145	911	4,406	4,604	3,512									
			Population, 1981	6,369	7,946	5,711	6,960	5,323	7,163	6,661	4,883	6,021	7,648	4,425	6,097	10,173	6,265	8,715	9,824	8,820	9,751	4,379	2,415	4,418	2,563	3,846	5,230	6,338	4,047	6,210	3,414	4,826	5,458	8,358	5,481	5,785	8,877	7,631	9,250	7,145	3,955	7,415	7,426	6,681	4,500	6,555	5,029	7,811	3,961	6,655	4,289	4,557	11,584	6,417	9,706	8,068	7,665	8,269	7,126	8,070	2,507	6,031	7,135	4,288	3,229	3,452	3,594	5,713	560	4,681	4,523	3,345									
			Population, 1986	9,236	8,319	5,826	7,179	5,458	7,575	7,065	4,810	6,053	7,789	4,427	6,133	10,480	6,475	8,650	10,574	9,182	10,452	4,219	2,523	4,243	2,359	3,967	5,371	6,513	4,235	6,113	3,310	5,057	5,724	8,469	6,016	5,944	9,283	8,084	9,533	7,309	4,047	7,711	7,250	7,008	4,796	6,824	4,715	8,344	4,213	6,908	4,520	7,580	12,812	6,698	9,953	8,275	7,614	8,392	6,985	8,063	2,760	5,665	7,429	4,275	3,181	3,321	3,835	5,714	616	4,714	4,212	3,606									
			Population, 1991	9,235	9,445	6,825	8,220	5,750	8,525	8,160	5,155	6,190	8,000	5,210	6,995	11,675	7,090	9,235	12,380	10,430	11,670	4,760	2,545	4,390	2,320	4,260	5,745	6,935	4,495	6,540	3,275	5,330	6,160	9,415	6,580	6,700	10,140	8,745	10,250	8,680	4,165	8,970	7,520	7,270	5,205	7,715	5,020	8,980	4,535	7,320	4,970	9,595	14,050	7,080	10,610	8,880	7,865	8,935	8,295	8,295	3,110	8,545	7,910	4,370	3,240	3,495	3,995	5,855	790	4,780	4,405	4,535									
			Population, 1996	10,264	12,080	7,570	8,774	6,553	9,328	8,559	5,454	6,463	8,747	5,737	7,061	12,465	7,387	9,636	16,235	11,242	12,126	5,175	2,544	4,222	2,694	4,435	6,051	7,219	4,843	6,841	3,224	5,691	6,606	9,928	6,987	7,166	10,823	10,417	10,853	8,770	4,628	10,175	7,847	7,787	5,713	7,963	4,921	9,272	4,793	7,631	5,873	9,960	14,579	7,344	11,058	9,073	8,199	9,841	8,710	8,103	3,412	16,364	8,350	4,731	3,281	3,585	4,034	6,417	1,513	5,340	4,733	6,833									
			Population, 2001	10,378	13,013	7,907	9,296	6,848	9,538	8,624	5,364	6,945	9,049	6,038	7,482	13,482	8,138	9,895	18,485	12,247	12,438	5,358	2,582	4,156	2,898	4,538	6,038	7,239	4,956	6,869	3,218	5,901	6,587	10,053	7,463	7,743	11,427	11,105	10,839	8,899	4,766	10,387	7,802	9,995	5,881	7,923	4,753	10,058	4,972	7,674	6,323	11,160	14,847	7,596	11,922	9,433	8,230	9,914	8,759	7,919	3,535	24,974	8,735	4,696	3,225	3,398	3,917	6,476	3,777	6,214	4,679	7,816									
			Population, 2006	10,875	13,602	8,215	9,639	7,451	10,083	8,850	5,664	7,473	9,906	6,624	7,797	14,473	8,364	10,771	21,384	13,195	13,253	5,265	2,561	4,041	3,256	4,454	6,030	7,245	4,882	8,225	3,188	6,005	6,396	10,154	7,235	7,555	11,469	11,102	11,485	8,272	4,782	10,378	7,706	10,909	5,900	8,275	4,715	10,143	4,927	7,688	6,635	11,807	14,065	7,674	11,999	9,398	8,222	9,631	8,323	8,089	3,734	36,598	8,680	4,787	3,262	3,574	4,614	6,610	6,772	8,230	4,846	10,831									
			Population, 2011	11,148	14,482	8,443	10,270	7,207	10,268	8,862	5,856	7,484	9,681	6,645	7,777	14,874	9,057	11,527	22,418	13,359	13,989	4,848	2,726	3,955	3,177	4,354	5,951	7,413	4,913	8,172	3,116	6,512	6,629	10,317	8,249	7,614	12,256	11,083	12,018	8,571	5,394	11,260	8,121	11,355	6,118	8,276	4,527	10,244	4,967	7,484	7,366	13,967	13,935	7,991	12,218	9,725	8,226	9,433	7,944	8,274	3,792	46,999	8,651	4,821	3,209	3,352	4,616	6,767	7,817	8,167	4,834	12,777									
			Population, 2016	11,749	14,736	8,327	10,577	7,302	9,932	8,995	5,852	7,103	10,093	6,615	8,102	15,101	9,064	11,731	22,280	14,167	13,891	4,882	2,700	3,684	3,062	4,227	5,787	7,420	4,675	7,861	3,063	6,798	6,896	10,777	9,098	8,323	12,515	11,300	12,362	8,640	5,817	11,690	8,707	11,861	6,482	8,373	4,700	10,673	5,158	7,764	7,932	19,823	15,465	8,060	12,384	10,056	8,542	9,788	8,687	8,062	4,203	53,525	9,110	5,111	3,426	3,978	4,658	7,147	8,639	8,545	5,085	15,890									
