Average Rents($) of Vacant and Occupied Units by Zone and Bedroom Type,,,,,,,,,,,,,,,,,,,,,,,,,,
"Privately Initiated Apartments, 3 Units and Over",,,,,,,,,,,,,,,,,,,,,,,,,,
Census Metropolitan Areas,,,,,,,,,,,,,,,,,,,,,,,,,,
October 2019,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,
Y/N: Are the average rents of vacant units statistically higher than the occupied units?,,,,,,,,,,,,,,,,,,,,,,,,,,
95% of Confidence Level is used for the test.,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Bachelor,,,,,1 Bedroom,,,,,2 Bedroom,,,,,3 Bedroom +,,,,,Total,,,,
Zone,Year,Vacant Units,,Occupied Units,,Y/N,Vacant Units,,Occupied Units,,Y/N,Vacant Units,,Occupied Units,,Y/N,Vacant Units,,Occupied Units,,Y/N,Vacant Units,,Occupied Units,,Y/N
Zone 22 - St-François/St-Vincent/Duvernay,2019,**,,537,a,**,720,b,684,a,Y,**,,727,a,**,**,,825,b,**,712,a,721,a,N
Zone 23 - Vimont/Auteuil,2019,**,,489,b,**,**,,697,c,**,**,,823,b,**,**,,986,b,**,672,d,818,b,N
Zone 24 - Laval-Ouest/Fabreville/Ste-Rose,2019,**,,576,a,**,**,,668,a,**,878,d,820,a,N,**,,943,a,**,828,c,816,a,N
Zone 25 - Mirabel/Oka/Pointe-Calumet etc.,2019,**,,542,b,**,**,,722,b,**,952,d,806,b,Y,**,,988,a,**,**,,837,a,**
Zone 26 - Blainville/Ste-Thérèse etc.,2019,**,,669,d,**,"1,258",d,758,b,Y,**,,847,a,**,**,,"1,014",b,**,**,,883,a,**
Zone 27 - Mascouche/Terrebonne etc.,2019,**,,552,b,**,**,,765,a,**,**,,875,a,**,**,,"1,113",b,**,**,,878,a,**
Zone 28 - L'Assomption/Lavaltrie etc.,2019,**,,567,a,**,**,,635,a,**,**,,771,a,**,**,,892,b,**,**,,771,a,**
Zone 29 - St-Jérôme/Gore/St-Colomban etc.,2019,**,,551,b,**,506,d,630,a,N,694,b,732,b,N,**,,925,b,**,574,d,758,a,N
Zone 30 - Longueuil,2019,575,b,551,b,Y,760,b,714,a,Y,"1,016",c,831,a,Y,**,,903,b,**,853,c,801,a,Y
Zone 31 - Boucherville/Brossard etc.,2019,**,,578,b,**,967,c,795,b,Y,**,,893,b,**,**,,"1,081",b,**,**,,901,a,**
Zone 32 - Beauharnois/La Prairie/Léry etc.,2019,**,,647,c,**,783,c,751,b,N,777,d,863,a,N,818,b,960,b,N,785,b,862,a,N
Zone 33 - Beloeil/McMasterville etc.,2019,**,,547,b,**,**,,764,c,**,821,b,875,b,N,**,,917,b,**,824,b,856,b,N
Zone 34 - Carignan/Chambly/St-Mathias etc.,2019,**,,**,,**,**,,634,b,**,**,,873,a,**,**,,900,b,**,**,,836,a,**
Zone 35 - ND-de-L'île-Perrot/Pincourt etc.,2019,**,,722,c,**,**,,842,b,**,"1,726",d,928,a,Y,**,,934,a,**,"1,650",b,911,a,Y
Zone 36 - Saint-Jean,2019,523,b,505,a,Y,**,,612,a,**,**,,734,a,**,755,c,765,a,N,813,d,705,a,Y
Zone 37 - Iberville,2019,**,,**,,**,**,,488,b,**,**,,696,b,**,**,,766,b,**,**,,690,b,**
Zone 38 - Saint-Luc,2019,**,,**,,**,**,,**,,**,**,,823,b,**,**,,804,a,**,**,,811,a,**
Zone 39 - Saint-Lin–Laurentides V,2019,**,,**,,**,**,,**,,**,**,,686,b,**,**,,736,c,**,**,,680,b,**
Montréal CMA,2019,581,b,657,a,N,830,b,752,a,Y,"1,078",b,853,a,Y,"1,268",c,"1,068",a,Y,908,b,840,a,Y
Zone 01 - St. Catharines (Core),2019,**,,673,b,**,968,b,922,a,Y,"1,134",b,"1,146",a,N,**,,"1,212",c,**,"1,030",b,"1,019",a,Y
Zone 02 - St. Catharines (Remainder North),2019,**,,869,b,**,"1,130",b,977,a,Y,"1,333",b,"1,184",a,Y,**,,"1,332",a,**,"1,295",b,"1,117",a,Y
Zone 03 - St. Catharines (Remainder South),2019,**,,**,,**,**,,"1,073",a,**,"1,353",b,"1,260",a,Y,**,,"1,476",a,**,"1,337",b,"1,233",a,Y
Zone 04 - Niagara Falls (Core),2019,**,,640,a,**,**,,901,b,**,**,,"1,026",a,**,**,,"1,158",c,**,"1,245",c,983,a,Y
Zone 05 - Niagara Falls (Remainder),2019,**,,613,b,**,**,,925,a,**,**,,"1,073",b,**,**,,"1,079",c,**,**,,"1,031",a,**
Zone 06 - Welland,2019,**,,599,c,**,**,,834,a,**,"1,179",c,973,a,Y,**,,998,b,**,975,d,923,a,Y
Zone 07 - Remainder of CMA,2019,**,,630,c,**,807,d,787,b,N,**,,"1,026",b,**,**,,"1,161",b,**,"1,083",d,956,b,Y
Zone 08 - Fort Erie,2019,**,,**,,**,**,,751,b,**,867,c,963,a,N,**,,**,,**,818,b,904,a,N
St. Catharines - Niagara CMA,2019,**,,698,b,**,991,a,912,a,Y,"1,187",a,"1,091",a,Y,"1,195",d,"1,201",a,N,"1,075",a,"1,027",a,Y
Zone 01 - Oshawa (North),2019,**,,838,a,**,"1,288",b,"1,112",a,Y,"1,359",b,"1,265",a,Y,**,,"1,412",a,**,"1,353",b,"1,221",a,Y
Zone 02 - Oshawa (South/Central),2019,987,b,821,a,Y,**,,"1,174",b,**,"1,165",b,"1,258",a,N,"1,560",d,"1,425",a,Y,"1,403",c,"1,231",a,Y
Zone 03 - Whitby,2019,**,,"1,036",c,**,"1,471",c,"1,170",a,Y,"1,443",b,"1,250",a,Y,**,,"1,324",a,**,"1,464",b,"1,223",a,Y
Zone 04 - Clarington,2019,**,,**,,**,**,,"1,195",b,**,**,,"1,348",a,**,**,,"1,559",b,**,**,,"1,304",a,**
Oshawa CMA,2019,"1,019",b,893,a,Y,"1,593",c,"1,156",a,Y,"1,246",a,"1,264",a,N,"1,572",c,"1,396",a,Y,"1,396",b,"1,230",a,Y
Zone 21 - Hull,2019,**,,631,b,**,860,b,781,b,Y,988,b,912,a,Y,"1,061",d,990,a,Y,857,c,865,a,N
Zone 22 - Aylmer,2019,**,,726,b,**,753,b,825,b,N,794,b,"1,033",b,N,**,,"1,154",a,**,774,b,981,a,N
Zone 23 - Gatineau,2019,**,,540,b,**,**,,645,a,**,735,a,781,a,N,871,c,891,a,N,721,c,776,a,N
Zone 24 - Peripheral,2019,**,,**,,**,**,,473,b,**,**,,628,b,**,**,,774,a,**,**,,635,b,**
Gatineau CMA,2019,**,,627,b,**,698,d,750,a,N,867,b,874,a,N,908,c,962,a,N,788,b,848,a,N
Zone 01 - Downtown,2019,852,d,935,a,N,"1,207",b,"1,291",a,N,"1,949",c,"1,792",b,Y,**,,"1,667",b,**,"1,404",b,"1,387",b,Y
Zone 02 - Sandy Hill/Lowertown,2019,976,c,946,a,Y,"1,315",c,"1,218",a,Y,**,,"1,630",b,**,**,,"2,527",c,**,"1,491",c,"1,400",b,Y
Zone 03 - Glebe/Old Ottawa South,2019,**,,919,a,**,**,,"1,181",a,**,**,,"1,501",a,**,**,,"1,929",d,**,"1,480",c,"1,333",a,Y
Zone 04 - Alta Vista,2019,**,,906,a,**,"1,112",a,"1,095",a,Y,"1,230",a,"1,285",a,N,**,,"1,692",c,**,"1,191",a,"1,207",a,N
Zone 05 - Carlington/Iris,2019,**,,897,a,**,"1,227",b,"1,070",a,Y,"1,441",b,"1,264",a,Y,**,,"1,559",b,**,"1,331",b,"1,160",a,Y
Zone 06 - Chinatown/Hintonburg/Westboro N,2019,"1,009",c,978,a,Y,"1,439",d,"1,269",b,Y,"1,929",d,"1,644",b,Y,**,,"2,069",c,**,"1,553",d,"1,352",b,Y
Zone 07 - New Edinb./Manor Park/Overbrook,2019,**,,886,a,**,"1,323",d,"1,238",b,Y,**,,"1,552",d,**,**,,**,,**,"1,575",d,"1,401",c,Y
Zone 08 - Westboro S/Hampton Pk/Britannia,2019,**,,928,a,**,"1,248",b,"1,068",a,Y,"1,628",b,"1,266",a,Y,**,,"1,415",c,**,"1,346",b,"1,144",a,Y
Zone 09 - Hunt Club/South Keys,2019,**,,**,,**,973,a,"1,003",a,N,"1,397",a,"1,177",a,Y,**,,**,,**,"1,207",b,"1,099",a,Y
Zone 10 - Vanier,2019,**,,823,c,**,"1,073",c,999,a,Y,"1,296",b,"1,132",a,Y,**,,"1,549",d,**,"1,207",b,"1,072",a,Y
Zone 11 - Gloucester North/Orleans,2019,**,,870,a,**,"1,342",a,"1,073",a,Y,"1,518",c,"1,274",a,Y,**,,"1,372",a,**,"1,468",b,"1,181",a,Y
Zone 12 - Eastern Ottawa Surrounding Areas,2019,**,,**,,**,**,,879,a,**,**,,"1,054",a,**,**,,**,,**,**,,"1,017",a,**
Zone 13 - Nepean,2019,**,,"1,075",a,**,"1,723",a,"1,136",a,Y,"1,726",a,"1,312",a,Y,"1,792",a,"1,506",a,Y,"1,720",a,"1,258",a,Y
Zone 14 - Western Ottawa Surrounding Areas,2019,**,,**,,**,"2,001",a,"1,749",a,Y,"2,687",b,"2,091",a,Y,**,,**,,**,"2,342",b,"1,915",a,Y
Zone 15 - North Grenville MU,2019,**,,**,,**,**,,**,,**,**,,**,,**,**,,**,,**,**,,**,,**
Ottawa CMA,2019,964,b,932,a,Y,"1,307",a,"1,176",a,Y,"1,663",a,"1,405",a,Y,"1,933",d,"1,816",b,Y,"1,451",a,"1,277",a,Y
Zone 01 - Downtown,2019,784,d,758,a,N,895,b,907,a,N,"1,252",a,"1,090",a,Y,**,,"1,318",b,**,"1,051",b,"1,002",a,Y
Zone 02 - Remainder of CMA,2019,**,,875,a,**,"1,136",b,989,a,Y,"1,215",a,"1,109",a,Y,"1,410",a,"1,353",a,Y,"1,185",a,"1,097",a,Y
Peterborough CMA,2019,778,c,785,a,N,970,b,941,a,Y,"1,234",a,"1,101",a,Y,"1,453",a,"1,345",a,Y,"1,106",a,"1,052",a,Y
Zone 01 - Haute-Ville,2019,686,c,635,a,Y,973,c,854,a,Y,"1,294",c,"1,064",a,Y,"1,473",c,"1,234",a,Y,"1,059",c,948,a,Y
Zone 02 - Basse-Ville,2019,561,c,553,b,N,740,c,610,a,Y,712,c,732,a,N,"1,011",c,864,a,Y,746,c,709,a,Y
Zone 03 - Sainte-Foy-Sillery,2019,745,d,622,a,Y,746,a,764,a,N,"1,001",b,959,a,Y,930,b,"1,070",a,N,890,b,874,a,Y
Zone 04 - Les Rivières,2019,**,,545,b,**,"1,152",c,771,a,Y,"1,174",c,913,a,Y,"1,376",d,"1,060",a,Y,"1,179",b,893,a,Y
Zone 05 - Beauport,2019,505,c,527,a,N,**,,673,b,**,947,c,788,a,Y,**,,930,b,**,919,c,776,a,Y
Zone 06 - Charlesbourg,2019,**,,540,a,**,693,c,705,a,N,801,a,830,a,N,"1,172",d,933,a,Y,799,b,809,a,N
Zone 07 - Haute-Saint-Charles,2019,**,,536,a,**,698,b,713,a,N,814,a,825,a,N,"1,040",c,915,a,Y,811,a,807,a,N
Zone 08 - Val-Bélair-L'Ancienne-Lorette,2019,**,,**,,**,**,,645,a,**,859,b,828,a,Y,**,,972,a,**,801,b,821,a,N
Zone 09 - Saint-Augustin-Cap-Rouge,2019,**,,631,b,**,"1,433",a,994,a,Y,"2,077",a,"1,043",a,Y,**,,"1,145",a,**,"1,667",a,"1,042",a,Y
Zone 10 - Northern Surrounding Area,2019,**,,**,,**,**,,610,b,**,**,,757,b,**,**,,927,b,**,512,c,770,b,N
Zone 11 - South Shore West,2019,**,,**,,**,**,,810,b,**,**,,843,b,**,**,,"1,079",c,**,"1,186",c,868,b,Y
Zone 12 - South Shore Centre,2019,**,,647,c,**,**,,740,b,**,**,,821,a,**,**,,950,a,**,**,,817,a,**
Zone 13 - South Shore East,2019,**,,520,a,**,966,d,661,a,Y,846,b,804,a,Y,**,,908,a,**,877,b,782,a,Y
Québec CMA,2019,639,b,593,a,Y,994,b,738,a,Y,"1,048",b,857,a,Y,"1,126",b,"1,006",a,Y,"1,016",a,832,a,Y
Zone 01 - Central,2019,620,a,687,a,N,810,a,871,a,N,"1,056",a,"1,139",a,N,"1,436",d,"1,422",b,N,864,a,971,a,N
Zone 02 - South: Lakeview/Albert Park,2019,795,a,762,a,Y,970,a,995,a,N,"1,042",a,"1,103",a,N,**,,"1,302",b,**,"1,002",a,"1,032",a,N
Zone 03 - South: Wascana University,2019,831,c,742,a,Y,955,a,989,a,N,"1,159",a,"1,161",a,N,**,,**,,**,"1,045",a,"1,085",a,N
Zone 04 - East,2019,**,,**,,**,"1,032",a,"1,009",a,Y,"1,285",a,"1,196",a,Y,**,,"1,263",a,**,"1,196",a,"1,156",a,Y
Zone 05 - West,2019,**,,641,b,**,826,a,883,a,N,913,a,"1,004",a,N,**,,"1,202",a,**,878,a,959,a,N
Zone 06 - Northeast,2019,724,a,707,a,Y,855,a,898,a,N,"1,003",a,"1,007",a,N,**,,**,,**,944,a,969,a,N
Zone 07 - Northwest,2019,**,,**,,**,"1,119",a,"1,109",a,Y,"1,396",a,"1,265",a,Y,"1,334",a,"1,320",a,Y,"1,296",a,"1,238",a,Y
Zone 08 - Outlying Areas,2019,**,,**,,**,**,,**,,**,**,,**,,**,**,,**,,**,**,,**,,**
Regina CMA,2019,662,a,706,a,N,871,a,935,a,N,"1,073",a,"1,132",a,N,"1,423",a,"1,258",a,Y,956,a,"1,042",a,N
Zone 01 - South,2019,**,,540,b,**,610,b,675,a,N,**,,803,a,**,**,,920,b,**,762,d,737,a,N
Zone 02 - West,2019,**,,**,,**,565,a,601,a,N,679,b,708,a,N,**,,808,b,**,650,b,700,a,N
Zone 03 - North,2019,**,,587,a,**,784,b,710,a,Y,805,b,858,a,N,**,,774,a,**,802,a,806,a,N
Zone 04 - East,2019,577,b,559,b,Y,582,a,**,,**,729,a,783,a,N,855,c,777,a,Y,676,a,798,b,N
Zone 05 - Outlying Areas,2019,**,,**,,**,**,,588,b,**,734,b,755,a,N,**,,755,d,**,734,b,738,a,N
Saint John CMA,2019,558,b,546,b,Y,637,b,701,b,N,763,a,798,a,N,863,d,808,a,Y,735,a,765,a,N
Zone 01 - St. John's East,2019,**,,666,b,**,835,b,857,a,N,"1,098",a,"1,054",a,Y,"1,004",a,985,a,Y,970,a,952,a,Y
Zone 02 - St. John's West,2019,745,a,770,a,N,768,a,793,a,N,875,a,876,a,N,**,,937,a,**,844,a,848,a,N
Zone 03 - Remainder of CMA,2019,**,,**,,**,**,,763,a,**,733,a,880,b,N,**,,719,a,**,748,a,811,a,N
St. John's CMA,2019,743,a,713,a,Y,823,a,823,a,N,955,a,967,a,N,807,b,912,a,N,884,a,897,a,N
Zone 01 - Central,2019,677,a,743,a,N,878,a,961,a,N,"1,241",a,"1,268",a,N,**,,"1,573",a,**,"1,043",a,"1,057",a,N
Zone 02 - South,2019,663,a,701,a,N,919,a,932,a,N,"1,154",a,"1,177",a,N,**,,"1,392",a,**,"1,032",a,"1,048",a,N
Zone 03 - Southeast,2019,**,,702,a,**,838,a,868,a,N,"1,170",a,"1,087",a,Y,**,,"1,432",a,**,"1,124",a,"1,028",a,Y
Zone 04 - Northeast,2019,**,,708,b,**,938,a,951,a,N,857,a,"1,170",a,N,**,,"1,427",a,**,904,a,"1,103",a,N
Zone 05 - North,2019,**,,673,a,**,926,a,958,a,N,"1,112",a,"1,152",a,N,**,,**,,**,"1,034",a,"1,075",a,N
Zone 06 - Southwest,2019,**,,710,a,**,837,a,864,a,N,948,a,"1,001",a,N,"1,102",a,"1,111",a,N,920,a,966,a,N
Zone 07 - West,2019,**,,864,a,**,966,a,951,a,Y,"1,027",a,"1,081",a,N,"1,172",a,"1,231",a,N,"1,033",a,"1,062",a,N
Zone 08 - Outlying Areas,2019,**,,**,,**,**,,**,,**,**,,"1,022",a,**,**,,"1,221",a,**,**,,"1,019",a,**
Saskatoon CMA,2019,680,a,724,a,N,892,a,932,a,N,"1,085",a,"1,131",a,N,"1,245",a,"1,283",a,N,"1,010",a,"1,048",a,N
Zone 01 - East District,2019,**,,**,,**,504,a,508,a,N,571,b,615,a,N,740,c,772,a,N,572,b,602,a,N
Zone 02 - Central District,2019,**,,436,a,**,466,b,515,a,N,523,b,593,a,N,**,,728,b,**,521,b,556,a,N
Zone 03 - Mont-Bellevue,2019,430,b,447,a,N,458,a,501,a,N,524,c,606,a,N,794,c,747,b,Y,540,b,584,a,N
Zone 04 - North District,2019,**,,484,a,**,602,b,622,a,N,813,c,748,a,Y,856,c,892,a,N,786,c,746,a,Y
Zone 05 - Brompton,2019,**,,**,,**,**,,456,a,**,**,,618,a,**,**,,753,a,**,**,,632,a,**
Zone 06 - Rock-Forest–St-Elie–Deauville,2019,**,,**,,**,**,,551,b,**,629,c,712,a,N,**,,834,a,**,629,c,730,a,N
Zone 07 - Magog,2019,397,b,417,a,N,440,a,477,a,N,548,a,624,a,N,**,,727,a,**,481,a,613,a,N
Zone 08 - Fleurimont,2019,**,,603,a,**,**,,575,c,**,609,a,673,a,N,**,,841,a,**,761,d,707,a,Y
Zone 09 - Lennoxville,2019,**,,468,a,**,541,b,535,a,N,608,a,633,a,N,840,b,821,a,Y,669,a,633,a,Y
Zone 10 - Remainder of CMA,2019,**,,**,,**,**,,**,,**,**,,643,a,**,**,,990,c,**,**,,776,b,**
Sherbrooke CMA,2019,434,b,456,a,N,489,a,529,a,N,630,b,658,a,N,807,b,811,a,N,611,a,648,a,N
Zone 01 - Lockerby,2019,**,,815,b,**,**,,"1,090",a,**,"1,503",d,"1,331",a,Y,**,,"1,433",b,**,"1,472",d,"1,237",a,Y
Zone 02 - New Sudbury,2019,**,,721,a,**,972,c,923,a,Y,"1,280",b,"1,107",a,Y,**,,"1,135",b,**,"1,144",b,"1,035",a,Y
Zone 03 - Old Sudbury,2019,**,,628,b,**,751,a,819,a,N,934,b,"1,038",a,N,**,,"1,057",c,**,822,b,919,a,N
Zone 04 - Remainder of CMA,2019,**,,**,,**,**,,787,b,**,**,,982,a,**,**,,999,b,**,**,,939,a,**
Greater Sudbury / Grand Sudbur CMA,2019,**,,678,a,**,874,c,905,a,N,"1,071",b,"1,115",a,N,**,,"1,180",b,**,964,b,"1,026",a,N
Zone 01 - North Ward,2019,747,c,660,b,Y,851,a,892,a,N,"1,144",a,"1,142",a,N,**,,"1,378",b,**,972,a,"1,059",a,N
Zone 02 - South Ward,2019,680,b,746,a,N,837,b,818,a,Y,"1,016",b,996,a,Y,**,,"1,091",b,**,894,a,918,a,N
Thunder Bay CMA,2019,708,b,712,a,N,843,a,856,a,N,"1,071",a,"1,075",a,N,"1,217",d,"1,327",b,N,927,a,995,a,N
Zone 01 - Toronto (Central),2019,"1,542",c,"1,312",a,Y,"2,346",b,"1,704",a,Y,"3,248",b,"2,376",b,Y,**,,"2,711",d,**,"2,530",b,"1,795",a,Y
Zone 02 - Toronto (East),2019,"1,328",c,915,b,Y,"1,751",b,"1,277",a,Y,"2,346",b,"1,524",b,Y,**,,"1,800",b,**,"1,851",b,"1,292",a,Y
Zone 03 - Toronto (North),2019,"1,492",b,"1,253",a,Y,"1,791",a,"1,518",a,Y,"2,359",b,"1,972",a,Y,"3,126",c,"2,761",c,Y,"1,952",a,"1,653",a,Y
Zone 04 - Toronto (West),2019,"1,120",c,982,a,Y,"1,532",a,"1,334",a,Y,"1,579",d,"1,602",a,N,**,,"2,037",d,**,"1,497",b,"1,365",a,Y
Zone 05 - Etobicoke (South),2019,"1,320",b,952,a,Y,"1,523",b,"1,193",a,Y,"1,507",d,"1,357",a,Y,**,,"1,637",c,**,"1,469",b,"1,246",a,Y
Zone 06 - Etobicoke (Central),2019,**,,"1,479",b,**,"1,610",b,"1,448",a,Y,"1,693",b,"1,667",a,Y,"2,298",c,"1,915",a,Y,"1,727",a,"1,633",a,Y
Zone 07 - Etobicoke (North),2019,**,,804,a,**,"1,171",b,"1,132",a,Y,"1,558",b,"1,303",a,Y,**,,"1,419",a,**,"1,557",b,"1,306",a,Y
Zone 08 - York,2019,"1,361",c,992,a,Y,"1,542",b,"1,298",a,Y,"2,306",b,"1,542",b,Y,**,,"1,802",c,**,"1,978",c,"1,392",a,Y
Zone 09 - East York,2019,"1,173",b,"1,001",a,Y,"1,512",a,"1,194",a,Y,"1,717",b,"1,466",a,Y,**,,"1,763",a,**,"1,584",a,"1,318",a,Y
Zone 10 - Scarborough (Central),2019,**,,"1,072",a,**,"1,583",a,"1,209",a,Y,"1,888",b,"1,374",a,Y,"1,844",c,"1,494",b,Y,"1,730",a,"1,308",a,Y
Zone 11 - Scarborough (North),2019,**,,"1,051",a,**,"1,448",a,"1,199",a,Y,"1,718",a,"1,365",a,Y,"2,059",b,"1,549",a,Y,"1,640",a,"1,322",a,Y
Zone 12 - Scarborough (East),2019,**,,"1,096",b,**,"1,456",a,"1,229",a,Y,"1,652",a,"1,363",a,Y,"2,036",a,"1,493",a,Y,"1,612",a,"1,340",a,Y
Zone 13 - North York (Southeast),2019,**,,"1,002",b,**,"1,522",a,"1,264",a,Y,"1,710",b,"1,465",a,Y,"2,185",b,"1,735",a,Y,"1,618",b,"1,414",a,Y
Zone 14 - North York (Northeast),2019,**,,"1,276",a,**,"1,678",a,"1,467",a,Y,"1,979",b,"1,687",a,Y,"2,378",d,"1,821",a,Y,"1,840",a,"1,631",a,Y
Zone 15 - North York (Southwest),2019,**,,932,a,**,"1,490",b,"1,169",a,Y,"1,668",b,"1,379",a,Y,**,,"1,854",c,**,"1,609",b,"1,325",a,Y
Zone 16 - North York (N.Central),2019,**,,"1,031",a,**,"1,692",a,"1,341",a,Y,"1,946",a,"1,520",a,Y,"2,227",a,"1,677",a,Y,"1,838",a,"1,465",a,Y
Zone 17 - North York (Northwest),2019,"1,020",b,951,a,Y,"1,269",a,"1,145",a,Y,"1,454",b,"1,345",a,Y,**,,"1,505",a,**,"1,370",a,"1,287",a,Y
Zone 18 - Mississauga (South),2019,**,,"1,011",a,**,"1,534",b,"1,238",a,Y,"1,691",b,"1,413",a,Y,"1,413",d,"1,501",a,N,"1,592",b,"1,338",a,Y
Zone 19 - Mississauga (Northwest),2019,**,,"1,293",d,**,"1,626",b,"1,457",a,Y,"1,884",b,"1,612",a,Y,**,,"1,620",a,**,"1,763",b,"1,556",a,Y
Zone 20 - Mississauga (Northeast),2019,**,,946,b,**,"1,616",a,"1,311",a,Y,"1,743",a,"1,466",a,Y,"2,281",a,"1,688",a,Y,"1,749",a,"1,429",a,Y
Zone 21 - Brampton (West),2019,**,,891,b,**,"1,286",c,"1,185",a,Y,"1,685",a,"1,361",a,Y,"1,819",b,"1,400",a,Y,"1,584",a,"1,281",a,Y
Zone 22 - Brampton (East),2019,**,,**,,**,"1,392",a,"1,437",b,N,"1,657",a,"1,539",a,Y,**,,"1,590",a,**,"1,588",a,"1,518",a,Y
Zone 23 - Oakville,2019,**,,"1,117",a,**,"1,661",a,"1,380",a,Y,"1,782",a,"1,564",a,Y,"1,922",b,"1,885",a,N,"1,746",a,"1,525",a,Y
Zone 24 - Caledon,2019,**,,**,,**,**,,**,,**,**,,**,,**,**,,**,,**,**,,**,,**
Zone 25 - Richmond Hill/Vaughan/King,2019,**,,"1,011",b,**,"1,655",b,"1,201",a,Y,"1,850",c,"1,435",a,Y,**,,"1,587",b,**,"1,846",b,"1,338",a,Y
"Zone 26 - Aurora, Newmkt, Whit-St.",2019,**,,795,a,**,"1,114",d,"1,247",a,N,**,,"1,337",a,**,**,,"1,552",b,**,"1,111",d,"1,302",a,N
Zone 27 - Markham,2019,**,,"1,029",b,**,"1,663",b,"1,369",a,Y,"1,856",b,"1,540",a,Y,**,,"1,639",a,**,"1,783",b,"1,479",a,Y
Zone 28 - Pickering/Ajax/Uxbridge,2019,**,,843,a,**,933,a,"1,036",a,N,"1,324",d,"1,281",b,N,**,,"1,471",a,**,"1,248",c,"1,306",a,N
Zone 29 - Milton/Halton Hills,2019,**,,834,b,**,"1,677",b,"1,109",a,Y,"1,570",b,"1,286",a,Y,**,,"1,662",a,**,"1,620",a,"1,231",a,Y
Zone 30 - Orangeville/Mono,2019,**,,**,,**,**,,"1,028",a,**,**,,"1,288",a,**,**,,"1,435",a,**,"1,372",c,"1,175",a,Y
Zone 31 - Bradford/West Gwillimbury/New Tecumseth,2019,**,,"1,087",c,**,**,,"1,109",a,**,**,,"1,268",a,**,**,,"1,533",b,**,"1,276",a,"1,235",a,Y
Toronto CMA,2019,"1,344",b,"1,137",a,Y,"1,729",a,"1,354",a,Y,"2,010",a,"1,556",a,Y,"2,399",b,"1,725",a,Y,"1,833",a,"1,453",a,Y
Zone 01 - Downtown,2019,**,,407,b,**,451,c,499,a,N,560,d,551,a,N,527,d,600,b,N,485,b,532,a,N
Zone 02 - UQTR Sector,2019,**,,419,a,**,626,c,523,a,Y,740,b,596,a,Y,667,b,718,a,N,643,a,581,a,Y
Zone 03 - North Sector,2019,**,,371,a,**,433,b,507,a,N,608,b,660,a,N,631,b,651,a,N,542,c,609,a,N
Zone 04 - Trois-Rivières-Ouest,2019,**,,427,b,**,603,d,516,a,Y,**,,656,a,**,**,,679,a,**,563,c,629,a,N
Zone 05 - Pointe-du-Lac/Yamachiche,2019,**,,**,,**,**,,675,b,**,**,,768,b,**,**,,"1,016",c,**,**,,782,b,**
Zone 06 - Cap-de-la-Madeleine,2019,379,a,373,b,N,448,b,488,a,N,526,b,619,a,N,**,,594,a,**,527,c,577,a,N
Zone 07 - St-Louis/Champlain/St-Maurice/Ste-Marthe,2019,**,,**,,**,**,,563,b,**,**,,635,c,**,**,,821,b,**,**,,724,b,**
Zone 08 - Bécancour,2019,**,,**,,**,**,,410,a,**,**,,623,a,**,**,,623,a,**,424,b,582,a,N
Trois-Rivières CMA,2019,425,b,405,a,Y,494,b,507,a,N,574,a,626,a,N,622,b,668,a,N,537,a,598,a,N
Zone 01 - West End/Stanley Park,2019,**,,"1,285",a,**,"1,814",a,"1,562",a,Y,**,,"2,286",a,**,**,,"3,508",c,**,"1,919",a,"1,613",a,Y
Zone 02 - English Bay,2019,"1,474",a,"1,329",a,Y,"1,838",a,"1,665",a,Y,"2,571",a,"2,337",a,Y,**,,**,,**,"1,865",a,"1,700",a,Y
Zone 03 - Downtown,2019,"1,198",b,"1,362",a,N,"1,816",a,"1,678",a,Y,"2,762",a,"2,542",a,Y,**,,"3,700",c,**,"1,846",a,"1,731",a,Y
Zone 04 - South Granville/Oak,2019,**,,"1,201",a,**,"1,708",a,"1,491",a,Y,"2,172",c,"2,015",a,Y,**,,"2,577",b,**,"1,835",a,"1,540",a,Y
Zone 05 - Kitsilano/Point Grey,2019,"1,248",d,"1,276",a,N,"1,847",b,"1,574",a,Y,"2,666",b,"2,135",a,Y,**,,"2,801",b,**,"2,091",b,"1,659",a,Y
Zone 06 - Westside/Kerrisdale,2019,**,,"1,154",a,**,"1,600",b,"1,484",a,Y,"3,134",b,"2,297",a,Y,**,,"3,114",a,**,"2,287",b,"1,766",a,Y
Zone 07 - Marpole,2019,**,,"1,114",b,**,"1,198",b,"1,155",a,Y,"2,125",c,"1,529",a,Y,**,,"1,610",b,**,"1,424",c,"1,219",a,Y
Zone 08 - Mount Pleasant/Renfrew Heights,2019,"1,364",b,"1,246",a,Y,"1,684",b,"1,294",a,Y,"2,216",c,"1,777",a,Y,**,,**,,**,"1,771",b,"1,378",a,Y
Zone 09 - East Hastings,2019,"1,558",b,"1,292",a,Y,"1,590",b,"1,242",a,Y,**,,"1,656",b,**,**,,"1,762",d,**,"1,565",b,"1,321",a,Y
